海量数据,603138
卫宁健康,300253
三棵树,603737
美尚生态,300495
富祥股份,300497
山鼎设计,300492
岱美股份,603730
温氏股份,300498
泰晶科技,603738
奥翔药业,603229
景旺电子,603228
菲林格尔,603226
金徽酒,603919
智动力,300686
百合花,603823
设计总院,603357
坤彩科技,603826
华扬联众,603825
华达科技,603358
三聚环保,300072
华东电脑,600850
微光股份,002801
九阳股份,002242
老凤祥,600612
瑞尔特,002790
通宇通讯,002792
东音股份,002793
秦港股份,601326
上汽集团,600104
同方股份,600100
华立股份,603038
泛微网络,603039
常熟汽饰,603035
凯众股份,603037
德新交运,603032
大烨智能,300670
电连技术,300679
同和药业,300636
普利制药,300630
万孚生物,300482
蓝海华腾,300484
日月股份,603218
凯普生物,300639
苏利股份,603585
金麒麟,603586
艾艾精工,603580
口子窖,603589
克来机电,603960
亚邦股份,603188
网达软件,603189
百傲化学,603360
今世缘,603369
激智科技,300566
新洋丰,000902
富安娜,002327
崇达技术,002815
中国建筑,601668
创新股份,002812
亚泰国际,002811
富森美,002818
长盈精密,300115
顺网科技,300113
拓普集团,601689
联化科技,002250
建设银行,601939
鹭燕医药,002788
长城影视,002071
福能股份,600483
岷江水电,600131
西部证券,002673
立讯精密,002475
莱克电气,603355
浦发银行,600000
威帝股份,603023
大豪科技,603025
沪宁股份,300669
杰恩设计,300668
必创科技,300667
飞鹿股份,300665
科锐国际,300662
圣邦股份,300661
江苏雷利,300660
贵阳银行,601997
红蜻蜓,603116
康尼机电,603111
万华化学,600309
龙马环卫,603686
快克股份,603203
大元泵业,603757
神思电子,300479
合纵科技,300477
江山欧派,603208
东尼电子,603595
深圳新星,603978
国泰集团,603977
正川股份,603976
熙菱信息,300588
江龙船艇,300589
英飞特,300582
赛托生物,300583
贝斯特,300580
晨曦航空,300581
海辰药业,300584
奥联电子,300585
利亚德,300296
星帅尔,002860
瀛通通讯,002861
传艺科技,002866
周大生,002867
绿康生化,002868
金溢科技,002869
汇川技术,300124
万科A,000002
恩华药业,002262
登海种业,002041
美的集团,000333
金银河,300619
富瀚微,300613
尚品宅配,300616
安靠智电,300617
欣天科技,300615
民生银行,600016
华夏银行,600015
汇顶科技,603160
莎普爱思,603168
尔康制药,300267
星徽精密,300464
伟明环保,603568
长久物流,603569
我乐家居,603326
宁波高发,603788
寿仙谷,603896
中国出版,601949
雄塑科技,300599
诚迈科技,300598
得邦照明,603303
欧普康视,300595
华夏幸福,600340
旭升股份,603305
星辉娱乐,300043
洋河股份,002304
伟隆股份,002871
香山股份,002870
新天药业,002873
安奈儿,002875
智能自控,002877
三利谱,002876
长缆科技,002879
元隆雅图,002878
桂林三金,002275
东方雨虹,002271
中工国际,002051
美亚光电,002690
康得新,002450
生物股份,600201
天海投资,600751
汇纳科技,300609
思特奇,300608
瑞特股份,300600
飞荣达,300602
恒锋信息,300605
长川科技,300604
拓斯达,300607
金太阳,300606
荣晟环保,603165
圣龙股份,603178
中国银河,601881
招商银行,600036
先导智能,300450
永安行,603776
耐威科技,300456
赢合科技,300457
荣盛发展,002146
荣泰健康,603579
三星新材,603578
印纪传媒,002143
美思德,603041
康普顿,603798
广州酒家,603043
苏垦农发,601952
梦百合,603313
东华软件,002065
百利科技,603959
安信信托,600816
威星智能,002849
同兴达,002845
英联股份,002846
盐津铺子,002847
视源股份,002841
东阿阿胶,000423
三星医疗,601567
济川药业,600566
法拉电子,600563
隆鑫通用,603766
中再资环,600217
达安股份,300635
古井贡酒,000596
扬帆新材,300637
开立医疗,300633
广和通,300638
全信股份,300447
乐凯新材,300446
金雷风电,300443
森特股份,603098
新经典,603096
玲珑轮胎,601966
好莱客,603898
晨光文具,603899
中国宝安,000009
小天鹅A,000418
春秋航空,601021
华钰矿业,601020
洁美科技,002859
皮阿诺,002853
道道全,002852
科达利,002850
三晖电气,002857
美芝股份,002856
力帆股份,601777
新城控股,601155
南京新百,600682
老板电器,002508
移为通信,300590
*ST弘高,002504
雅戈尔,600177
伊力特,600197
誉衡药业,002437
康美药业,600518
贵州茅台,600519
国药股份,600511
捷捷微电,300623
光库科技,300620
华测导航,300627
三雄极光,300625
金证股份,600446
亿联网络,300628
景峰医药,000908
华懋科技,603306
富临精工,300432
美康生物,300439
起步股份,603557
海兴电力,603556
正裕工业,603089
大丰实业,603081
艾比森,300389
南卫股份,603880
上海天洋,603330
吉祥航空,603885
元祖股份,603886
新华网,603888
联得装备,300545
朗科智能,300543
贵广网络,600996
集友股份,603429
鼎信通讯,603421
东方网力,300367
中文在线,300364
炬华科技,300360
卫光生物,002880
美格智能,002881
中设股份,002883
沃特股份,002886
绿茵生态,002887
三力士,002224
东方嘉盛,002889
三角轮胎,601163
兴业银行,601166
金螳螂,002081
欧亚集团,600697
联美控股,600167
通策医疗,600763
中马传动,603767
省广股份,002400
大华股份,002236
方大特钢,600507
桂冠电力,600236
友邦吊顶,002718
片仔癀,600436
青岛海尔,600690
天能重工,300569
乐心医疗,300562
万丰奥威,002085
远大控股,000626
长安汽车,000625
强力新材,300429
商业城,600306
司太立,603520
多伦科技,603528
天华超净,300390
天孚通信,300394
佳发安泰,300559
贝达药业,300558
路通视信,300555
三超新材,300554
和仁科技,300550
金牌厨柜,603180
皇马科技,603181
海利尔,603639
镇海股份,603637
拉芳家化,603630
步长制药,603858
航民股份,600987
艾华集团,603989
勘设股份,603458
吉华集团,603980
兆易创新,603986
南京银行,601009
易事特,300376
扬杰科技,300373
科力尔,002892
海康威视,002415
宁波银行,002142
天士力,600535
上海电影,601595
奥瑞金,002701
华东医药,000963
国电南瑞,600406
长源电力,000966
中天金融,000540
昆仑万维,300418
保利地产,600048
汇金科技,300561
